Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.500%,5.315%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,10YMF,10 Year Fixed,,Offline,10.0,Fixed,3.875%,4.675%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMF,30 Year Fixed,,Offline,30.0,Fixed,4.750%,5.057%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,20YMF,20 Year Fixed,,Offline,20.0,Fixed,4.500%,4.945%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.957%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,5.044%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,5/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.884%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,3/1 Libor ARM,,Offline,30.0,Variable,4.500%,5.151%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,10/1 Libor ARM,,Offline,30.0,Variable,4.375%,4.768%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
 2018-08-10,US,New York,CITIGROUP INC,C,USD,Bank,Mortgages,Mortgages,30YMV,7/1 Libor ARM,,Offline,30.0,Variable,4.250%,4.797%,300000,20%,720+,New Purchase,Primary Residence,Principal + Interest,Bank Website
